cve_ent,poblacion,nombre,casos
16046,15290,Juarez,209
16047,22358,Jungapeo,98
16048,5862,Lagunillas,56
16049,18769,Madero,75
5035,744247,Torreon,21111
5036,23781,Viesca,143
7012,56971,Berriozabal,247
11038,12978,Tarandacuao,546
11039,36574,Tarimoro,1055
11040,20238,Tierra Blanca,446
7061,100318,Ocozocoautla de Espinosa,470
7062,19969,Ostuacan,27
12009,5284,Atlamajalcingo del Monte,13
12010,28136,Atlixtac,51
12013,13164,Azoyu,236
7092,45447,Tecpatan,40
7093,47721,Tenejapa,10
7094,47217,Teopisca,21
7096,85507,Tila,29
7097,97839,Tonala,565
7098,7894,Totolapa,6
7099,85344,La Trinitaria,38
7100,37381,Tumbala,18
13047,5354,Pacula,40
8054,8290,Riva Palacio,23
8055,18394,Rosales,170
8056,2182,Rosario,10
13061,58776,Tepeapulco,2311
14011,5921,Atengo,62
14051,19203,Juanacatlan,310
10037,9849,Topia,90
14120,1433360,Zapopan,28747
14121,31317,Zapotiltic,288
14122,7479,Zapotitlan de Vadillo,43
14123,19347,Zapotlan del Rey,155
14124,72439,Zapotlanejo,434
13071,10933,Tlahuiltepa,66
13072,11165,Tlanalapa,268
15021,41717,Coatepec Harinas,211
15029,226911,Chicoloapan,3693
15075,29145,San Martin de las Piramides,390
17024,55553,Tlaltizapan de Zapata,1167
17025,36147,Tlaquiltenango,734
19002,2599,Agualeguas,166
19003,1506,Los Aldamas,25
19004,38297,Allende,2124
19005,19976,Anahuac,251
19009,105145,Cadereyta Jimenez,6428
19011,8324,Cerralvo,611
19012,50563,Cienega de Flores,1747
19013,11962,China,210
19014,37859,Doctor Arroyo,1428
19015,1845,Doctor Coss,21
19031,396864,Juarez,10263
19032,5783,Lampazos de Naranjo,146
19033,88689,Linares,3419
19034,6199,Marin,53
20028,21913,Heroica Ciudad de Ejutla de Crespo,396
19037,5882,Mina,84
19038,67657,Montemorelos,3862
19039,1124835,Monterrey,58754
19048,322051,Santa Catarina,12544
19049,46955,Santiago,2448
19050,1942,Vallecillo,24
19051,4567,Villaldama,206
20068,22936,Ocotlan de Morelos,813
20002,47616,Acatlan de Perez Figueroa,152
20031,7677,Tamazulapam del Espiritu Santo,71
20005,15831,Asuncion Ixtaltepec,318
20006,19655,Asuncion Nochixtlan,349
20008,804,Asuncion Tlacolulita,12
20009,7452,Ayotzintepec,32
20010,14895,El Barrio de la Soledad,658
20012,10829,Candelaria Loxicha,22
20015,4738,Coatecas Altas,8
20018,826,Concepcion Buenavista,9
20113,3072,San Baltazar Loxicha,4
20036,5479,Guevea de Humboldt,24
20039,81271,Heroica Ciudad de Huajuapan de Leon,2583
20041,32459,Huautla de Jimenez,122
20042,8521,Ixtlan de Juarez,113
20043,103241,Heroica Ciudad de Juchitan de Zaragoza,2217
20044,44584,Loma Bonita,535
20059,45679,Miahuatlan de Porfirio Diaz,1185
20073,34568,Putla Villa de Guerrero,371
20093,505,San Andres Lagunas,1
20198,30815,San Juan Guichicovi,48
20085,25684,San Agustin Loxicha,56
20098,4590,San Andres Teotilalpam,0
20104,2788,San Antonino el Alto,6
20205,17579,San Juan Lalana,19
20207,19226,San Juan Mazatlan,18
20152,2357,San Francisco Tlapancingo,4
20161,2688,San Jeronimo Sosola,17
20175,1652,San Juan Bautista Atatlahuca,9
20141,8091,San Francisco del Mar,6
20177,10341,San Juan Bautista Cuicatlan,284
20147,387,San Francisco Nuxaño,1
20149,1773,San Francisco Sola,13
20155,1007,San Ildefonso Sola,1
20156,3537,San Ildefonso Villa Alta,22
20159,5501,San Jeronimo Coatlan,24
20164,2937,San Jorge Nuchita,23
20184,170588,San Juan Bautista Tuxtepec,4128
20185,9264,San Juan Cacahuatepec,68
20186,598,San Juan Cieneguilla,0
20190,24519,San Juan Cotzocon,75
20211,2780,San Juan Ozolotepec,4
20212,3041,San Juan Petlapa,2
20213,4145,San Juan Quiahije,3
20214,2135,San Juan Quiotepec,4
20202,4968,San Juan Lachao,12
20217,3079,San Juan Tamazola,7
20515,68052,Santo Domingo Tehuantepec,1275
20526,18273,Santos Reyes Nopala,69
20457,3279,Santiago Camotlan,8
20229,8520,San Lorenzo Texmelucan,2
20230,1010,San Lorenzo Victoria,6
20232,21069,San Lucas Ojitlan,99
20277,12703,Villa Sola de Vega,93
20278,40476,San Miguel Soyaltepec,81
20279,2833,San Miguel Suchixtepec,13
20261,7808,San Miguel Amatitlan,17
20272,6768,San Miguel Panixtlahuaca,14
20273,3463,San Miguel Peras,8
20275,8512,San Miguel Quetzaltepec,3
20290,1043,San Nicolas Hidalgo,8
20291,4369,San Pablo Coatlan,19
20549,11399,Villa Tezoatlan de Segura y Luna,58
20306,3781,San Pedro el Alto,6
20309,11804,San Pedro Ixcatlan,16
20334,47281,Villa de Tututepec de Melchor Ocampo,215
20318,51195,San Pedro Mixtepec Distrito 22,1104
20324,49364,San Pedro Pochutla,611
20337,5406,San Pedro y San Pablo Ayutla,17
20340,1778,San Pedro y San Pablo Tequixtepec,11
20341,239,San Pedro Yucunama,4
26024,817,Divisaderos,6
26025,60631,Empalme,2903
26026,66633,Etchojoa,1160
20364,16319,Santa Catarina Juquila,290
20366,3973,Santa Catarina Loxicha,11
20401,25179,Santa Maria Colotepec,280
20371,1095,Santa Catarina Ticua,8
20377,11961,Santa Cruz Itundujia,31
20378,3654,Santa Cruz Mixtepec,40
20385,98970,Santa Cruz Xoxocotlan,4481
20386,19026,Santa Cruz Zenzontepec,16
20389,945,Santa Ines Yatzeche,2
20394,2898,Santa Maria Alotepec,14
20397,42679,Heroica Ciudad de Tlaxiaco,771
20406,21031,Santa Maria Chilchotla,7
20407,9380,Santa Maria Chimalapa,37
20410,3508,Santa Maria Ecatepec,4
20413,46818,Santa Maria Huatulco,1695
20417,9625,Santa Maria Jacatepec,39
20424,3970,Santa Maria Ozolotepec,49
20426,8781,Santa Maria Peñoles,21
20427,17112,Santa Maria Petapa,143
20435,3902,Santa Maria Tepantlali,5
20447,16538,Santa Maria Zacatepec,63
20450,13114,Santiago Amoltepec,21
20459,4627,Santiago Chazumba,48
20460,5338,Santiago Choapam,51
20466,13319,Santiago Ixtayutla,8
20467,19738,Santiago Jamiltepec,193
20470,4862,Santiago Lachiguiri,10
20477,1440,Santiago Minas,3
20479,211,Santiago Nejapilla,0
20481,1805,Santiago Nuyoo,1
20484,4623,Santiago Tamazola,21
20498,7104,Santiago Yaveo,24
20492,3014,Santiago Tilantongo,7
20495,3106,Santiago Xanica,1
20500,8672,Santiago Yosondua,20
20513,9495,Santo Domingo Petapa,85
20543,5999,Tataltepec de Valdes,5
21017,30052,Atempan,144
21018,4005,Atexcal,14
21019,143903,Atlixco,3059
21071,111389,Huauchinango,1517
21072,19663,Huehuetla,34
21022,12950,Atzitzihuacan,28
21023,9727,Atzitzintla,19
21024,981,Axutla,1
21025,9105,Ayotoxco de Guerrero,33
21026,15345,Calpan,84
21027,4148,Caltepec,13
21031,3119,Coatzingo,13
21032,1415,Cohetzala,7
21033,5174,Cohuecan,13
21035,21827,Coxcatlan,171
21036,14840,Coyomeapan,5
21037,2449,Coyotepec,32
21081,3798,Ixcamilpa de Guerrero,12
21082,9411,Ixcaquixtla,102
21083,25772,Ixtacamaxtitlan,63
21092,5578,Juan N. Mendez,17
21093,8243,Lafragua,19
21094,36010,Libres,230
21096,3005,Mazapiltepec de Juarez,17
21098,6574,Molcaxac,40
21126,6639,San Jeronimo Tecuanipan,41
21127,3675,San Jeronimo Xayacatlan,21
21128,9309,San Jose Chiapa,100
21129,14148,San Jose Miahuatlan,40
21130,3545,San Juan Atenco,27
21119,154192,San Andres Cholula,2743
21120,5871,San Antonio Cañada,19
21121,1267,San Diego la Mesa Tochimiltzingo,4
21122,11025,San Felipe Teotlalcingo,89
21123,4143,San Felipe Tepatlan,11
21145,14734,San Sebastian Tlacotepec,11
21146,853,Santa Catarina Tlaltempan,18
21147,6712,Santa Ines Ahuatempan,24
21148,9425,Santa Isabel Cholula,60
21149,27176,Santiago Miahuatlan,197
21150,7648,Huehuetlan el Grande,21
22003,14789,Arroyo Seco,359
23007,31385,Lazaro Cardenas,593
23008,239850,Solidaridad,11535
23009,36866,Tulum,571
24008,22722,Cerritos,421
24009,4762,Cerro de San Pedro,87
24010,35725,Ciudad del Maiz,199
24011,47527,Ciudad Fernandez,1763
24012,21674,Tancanhuitz,427
24013,187772,Ciudad Valles,8622
24015,21918,Charcas,591
24016,45721,Ebano,987
24017,27705,Guadalcazar,340
24019,5775,Lagunillas,66
24046,18602,Villa de Arriaga,198
24047,10198,Villa de Guadalupe,149
24051,15552,Villa Hidalgo,143
24052,10605,Villa Juarez,89
24053,38871,Axtla de Terrazas,1005
24057,32154,Matlapa,888
26006,2958,Arizpe,48
26008,1220,Bacadehuachi,7
26022,1066,Cucurpe,14
26029,171035,Guaymas,5675
26033,86918,Huatabampo,2538
26036,33896,Magdalena,971
26040,2172,Nacori Chico,68
26045,2949,Opodepe,5
26051,5488,Rosario,156
26052,6122,Sahuaripa,258
26055,206982,San Luis Rio Colorado,5231
26062,1222,Suaqui Grande,7
26064,1763,Trincheras,15
26058,17813,Santa Ana,557
28037,26467,Soto la Marina,1046
28038,334535,Tampico,15030
28039,30885,Tula,379
29015,41831,Ixtacuixtla de Mariano Matamoros,738
29016,7759,Ixtenco,156
29017,11601,Mazatecochco de Jose Maria Morelos,63
29018,41267,Contla de Juan Cuamatzi,755
26069,6387,Yecora,95
26071,23843,Benito Juarez,821
26072,15677,San Ignacio Rio Muerto,384
27001,64346,Balancan,3051
28005,4735,Burgos,24
28007,16332,Camargo,288
28008,4410,Casas,21
28010,1998,Cruillas,18
28011,9689,Gomez Farias,102
28012,46374,Gonzalez,448
28013,16524,Güemez,138
28014,4786,Guerrero,67
28015,16640,Gustavo Diaz Ordaz,95
28016,24504,Hidalgo,153
29055,3328,San Lucas Tecopilco,41
30012,8469,Amatitlan,96
30013,30103,Naranjos Amatlan,140
30014,48007,Amatlan de los Reyes,580
30015,35909,Angel R. Cabada,351
30016,28481,La Antigua,1204
30017,4288,Apazapan,15
30093,17572,Jilotepec,129
30094,41108,Juan Rodriguez Clara,113
30095,16662,Juchique de Ferrer,33
29020,10588,Sanctorum de Lazaro Cardenas,59
29021,19402,Nanacamilpa de Mariano Arista,228
29022,6934,Acuamanala de Miguel Hidalgo,135
29023,27294,Nativitas,362
29024,29017,Panotla,629
29025,82542,San Pablo del Monte,1085
29026,22062,Santa Cruz Tlaxcala,477
30097,20987,Lerdo de Tejada,526
29028,26065,Teolocholco,681
29029,14396,Tepeyanco,357
29030,16330,Terrenate,139
29031,34866,Tetla de la Solidaridad,715
29032,15237,Tetlatlahuca,196
29033,103435,Tlaxcala,4950
29043,41773,Yauhquemehcan,983
29044,47148,Zacatelco,1559
30177,11825,Tlacolulan,27
30178,14121,Tlacotalpan,136
30179,4156,Tlacotepec de Mejia,11
30180,12158,Tlachichilco,11
30181,40083,Tlalixcoyan,210
30182,19767,Tlalnelhuayocan,100
30183,65087,Tlapacoyan,409
30184,8035,Tlaquilpa,8
29046,4836,Emiliano Zapata,23
29050,11502,San Francisco Tetlanohcan,166
29052,6421,San Jose Teacalco,77
30001,9131,Acajete,40
30019,6685,Astacinga,8
30020,11318,Atlahuilco,69
30021,25040,Atoyac,180
30022,22414,Atzacan,303
30023,52831,Atzalan,178
30024,16443,Tlaltetela,29
30025,28005,Ayahualulco,52
30026,24692,Banderilla,279
30042,5902,Colipa,20
30043,21159,Comapa,36
30044,228703,Cordoba,7018
30045,59870,Cosamaloapan de Carpio,2071
30046,17107,Cosautlan de Carvajal,32
30047,60872,Coscomatepec,217
30048,145830,Cosoleacaque,1240
30049,21972,Cotaxtla,106
30050,17506,Coxquihui,23
30051,23502,Coyutla,39
30052,12835,Cuichapa,99
30053,29555,Cuitlahuac,188
30054,13110,Chacaltianguis,93
30055,14137,Chalma,46
30056,7031,Chiconamel,22
30065,84197,Emiliano Zapata,682
30066,28537,Espinal,61
30067,19443,Filomeno Mata,15
30068,70428,Fortin,2192
30069,25874,Gutierrez Zamora,174
30070,19739,Hidalgotitlan,28
30071,63649,Huatusco,353
30072,22587,Huayacocotla,89
30073,45332,Hueyapan de Ocampo,287
30099,18845,Maltrata,142
30100,24849,Manlio Fabio Altamirano,237
30101,38503,Mariano Escobedo,719
30102,111164,Martinez de la Torre,2237
30103,12950,Mecatlan,8
30104,17526,Mecayapan,18
30105,83280,Medellin,1448
30106,4928,Miahuatlan,17
30117,25159,Omealca,128
30121,24470,Ozuluama de Mascareñas,76
30122,18172,Pajapan,16
30123,105926,Panuco,1834
30124,166496,Papantla,1361
30132,20667,Las Vigas de Ramirez,53
30137,6200,Los Reyes,7
30139,6526,Saltabarranca,55
30186,7326,Tomatlan,56
30187,6001,Tonayan,9
30188,18306,Totutla,27
30189,169763,Tuxpan,3354
30191,32478,Ursulo Galvan,576
30195,5685,Xoxocotla,1
30200,14056,Zentla,8
30201,45823,Zongolica,377
30202,15258,Zontecomatlan de Lopez y Fuentes,7
30203,15708,Zozocolco de Hidalgo,15
30204,50680,Agua Dulce,420
30205,20600,El Higo,291
30207,48712,Tres Valles,741
30208,25991,Carlos A. Carrillo,415
30209,16248,Tatahuicapan de Juarez,15
30210,30449,Uxpanapa,80
30211,31464,San Rafael,296
30212,15037,Santiago Sochiapan,15
31006,9560,Buctzotz,243
31050,963861,Merida,47388
31008,4328,Calotmul,21
31011,8260,Celestun,72
31058,26894,Peto,404
31059,63037,Progreso,1971
31017,4896,Chankom,86
31019,39000,Chemax,311
31065,2072,San Felipe,136
31028,2892,Dzilam de Bravo,14
31029,6543,Dzilam Gonzalez,32
31030,4034,Dzitas,101
31032,17300,Espita,214
31036,8243,Homun,71
31040,28872,Izamal,611
31047,6001,Mani,47
31052,39052,Motul,875
31101,58139,Uman,1971
31102,86205,Valladolid,3906
31061,3811,Rio Lagartos,114
32037,18789,Panuco,171
32038,76871,Pinos,549
32039,67507,Rio Grande,763
32040,23283,Sain Alto,124
31066,4278,Santa Elena,54
31067,10360,Seye,119
31069,9485,Sotuta,26
31071,1825,Sudzal,18
31079,45441,Tekax,998
31081,3443,Tekom,68
31084,7746,Temax,51
31085,16593,Temozon,341
31089,42960,Ticul,1739
31091,12771,Tinum,267
31092,7614,Tixcacalcupul,37
31093,19340,Tixkokob,389
31096,82742,Tizimin,1982
31098,15686,Tzucacab,156
31099,4368,Uayma,124
31104,16313,Yaxcaba,117
32001,6342,Apozol,39
32002,5097,Apulco,29
32042,65330,Sombrerete,1663
32043,1429,Susticacan,18
32044,16372,Tabasco,268
32045,9180,Tepechitlan,193
32046,7483,Tepetongo,94
32047,5172,Teul de Gonzalez Ortega,182
32048,28112,Tlaltenango de Sanchez Roman,937
32049,34792,Valparaiso,240
32050,10536,Vetagrande,137
32051,37099,Villa de Cos,444
1001,961977,Aguascalientes,30543
1002,50864,Asientos,585
1003,60760,Calvillo,1185
1008,9661,San Jose de Gracia,151
1009,22743,Tepezala,331
1010,21947,El Llano,109
1011,51568,San Francisco de los Romo,373
2001,536143,Ensenada,14149
2002,1087478,Mexicali,29788
2003,113857,Tecate,2426
2004,1789531,Tijuana,27073
2005,107859,Playas de Rosarito,1975
3001,83051,Comondu,4285
3002,67727,Mulege,3439
3003,301961,La Paz,23519
3008,330312,Los Cabos,22847
3009,21657,Loreto,2336
4001,63298,Calkini,556
4002,317424,Campeche,11239
4003,275478,Carmen,6789
4004,99945,Champoton,1385
4005,34683,Hecelchakan,614
7046,43292,Jiquipilas,47
7112,37811,San Juan Cancuc,11
17004,91043,Ayala,1474
18006,31770,Ixtlan del Rio,408
13018,25460,Chapulhuacan,121
16015,18450,Coalcoman de Vazquez Pallares,193
16016,21736,Coeneo,119
16017,35877,Contepec,70
16018,9487,Copandaro,105
1004,16918,Cosio,143
1005,130184,Jesus Maria,1120
1006,50032,Pabellon de Arteaga,1033
1007,57981,Rincon de Romos,946
4006,44051,Hopelchen,451
4007,9868,Palizada,221
4008,11930,Tenabo,149
4009,63495,Escarcega,1847
5002,163157,Acuña,4375
16041,15916,Irimbo,61
16042,13523,Ixtlan,45
16043,72669,Jacona,694
16044,13350,Jimenez,114
16067,17752,Penjamillo,111
16092,14082,Tiquicheo de Nicolas Romero,75
16109,3343,Zinaparo,57
8030,8603,Guazapares,217
18010,37093,Rosamorada,517
14119,30432,Zacoalco de Torres,326
16019,19674,Cotija,201
16020,31334,Cuitzeo,266
16021,13006,Charapan,60
16022,23273,Charo,274
15115,54531,Xonacatlan,835
4010,31723,Calakmul,485
4011,48722,Candelaria,344
5001,1130,Abasolo,14
5003,24705,Allende,812
5004,25477,Arteaga,316
5005,1945,Candela,43
5006,30568,Castaños,662
5019,9430,Morelos,232
5020,75647,Muzquiz,2632
16045,34725,Jiquilpan,353
5007,14623,Cuatro Cienegas,1042
16050,92676,Maravatio,895
16051,14517,Marcos Castellanos,73
16052,192153,Lazaro Cardenas,11945
16053,825585,Morelia,16666
20049,1209,Magdalena Ocotlan,24
16088,119032,Tarimbaro,850
16089,24911,Tepalcatepec,244
7072,35144,Pueblo Nuevo Solistahuacan,15
16112,172015,Zitacuaro,2025
8048,25596,Namiquipa,176
11024,12620,Pueblo Nuevo,306
14006,64979,Ameca,873
5008,3353,Escobedo,36
5009,64483,Francisco I. Madero,1966
5021,7152,Nadadores,168
16059,8480,Nuevo Urecho,77
16060,10290,Numaran,129
16061,25418,Ocampo,84
16062,20338,Pajacuaran,71
16063,16536,Panindicuaro,98
16064,27992,Paracuaro,125
16065,39341,Paracho,680
16066,98122,Patzcuaro,2312
5010,87942,Frontera,2292
5029,2614,Sacramento,185
5030,869184,Saltillo,25104
5031,25820,San Buenaventura,589
5032,47315,San Juan de Sabinas,2387
16068,29376,Periban,198
5011,13501,General Cepeda,191
5012,1964,Guerrero,32
7008,30925,Angel Albino Corzo,43
7009,44264,Arriaga,163
16069,110385,La Piedad,2150
16070,16103,Purepero,196
16071,70372,Puruandiro,580
16072,14356,Querendaro,137
16073,29118,Quiroga,254
16074,10935,Cojumatlan de Regules,111
16075,73199,Los Reyes,1116
16076,81371,Sahuayo,810
16077,18936,San Lucas,190
16078,13124,Santa Ana Maya,105
16079,51652,Salvador Escalante,242
16080,19980,Senguio,57
16081,9161,Susupuato,34
16082,81105,Tacambaro,602
16083,32707,Tancitaro,210
16084,30945,Tangamandapio,199
16085,35305,Tangancicuaro,241
16086,16286,Tanhuato,90
16087,15465,Taretan,327
5013,1888,Hidalgo,22
5014,10994,Jimenez,69
7036,7882,La Grandeza,2
7037,38185,Huehuetan,105
5015,1722,Juarez,23
5016,1984,Lamadrid,97
5017,119492,Matamoros,1773
7038,25616,Huixtan,16
7039,25161,Huitiupan,3
7040,59209,Huixtla,508
7041,49602,La Independencia,20
7042,12317,Ixhuatan,9
7043,11777,Ixtacomitan,34
7044,29778,Ixtapa,20
7045,5988,Ixtapangajoya,37
5018,251346,Monclova,8955
7047,22619,Jitotol,30
7048,23527,Juarez,75
7049,25725,Larrainzar,20
7050,5424,La Libertad,66
7051,51875,Mapastepec,118
7052,134759,Las Margaritas,123
16090,15878,Tingambato,58
16091,15337,Tingüindin,115
5022,33101,Nava,946
5023,11628,Ocampo,166
7070,15501,El Porvenir,7
7071,31522,Villa Comaltitlan,47
5024,48694,Parras,2009
5025,177255,Piedras Negras,8261
7106,70992,Venustiano Carranza,188
7107,85784,Villa Corzo,92
7108,115691,Villaflores,353
7109,41655,Yajalon,35
7110,7896,San Lucas,9
7111,44824,Zinacantan,12
5026,3654,Progreso,48
5027,103252,Ramos Arizpe,1901
16093,30331,Tlalpujahua,157
16094,6654,Tlazazalca,58
16095,12593,Tocumbo,137
16096,6992,Tumbiscatio,21
16097,32588,Turicato,182
16098,28471,Tuxpan,401
16099,15964,Tuzantla,249
16100,15139,Tzintzuntzan,217
16101,9026,Tzitzio,62
16102,354727,Uruapan,8285
16103,26074,Venustiano Carranza,116
16104,17460,Villamar,148
16105,21677,Vista Hermosa,85
16106,33136,Yurecuaro,277
16107,79809,Zacapu,1687
16108,207985,Zamora,3224
5028,69500,Sabinas,3364
16110,49471,Zinapecuaro,492
16111,18251,Ziracuaretiro,100
5033,117370,San Pedro,2728
16113,27504,Jose Sixto Verduzco,260
17001,18861,Amacuzac,309
17002,24153,Atlatlahucan,401
17003,38236,Axochiapan,385
5034,7740,Sierra Mojada,57
17019,28871,Tepalcingo,327
12055,112561,Taxco de Alarcon,2405
15051,159948,Lerma,2154
16040,17595,Indaparapeo,87
5037,6859,Villa Union,316
7113,7152,Aldama,10
7114,21603,Benemerito de las Americas,82
5038,14203,Zaragoza,461
6001,32363,Armeria,642
6002,169188,Colima,9644
6003,23902,Comala,333
6004,22167,Coquimatlan,781
6005,32829,Cuauhtemoc,831
6006,6078,Ixtlahuacan,255
6007,203306,Manzanillo,8356
6008,9670,Minatitlan,227
6009,134631,Tecoman,5358
